Product_Collection,Vertical_Segment,Processor_Number,Status,Launch_Date,Lithography,Recommended_Customer_Price,nb_of_Cores,nb_of_Threads,Processor_Base_Frequency,Max_Turbo_Frequency,Cache,Bus_Speed,TDP,Embedded_Options_Available,Conflict_Free,Max_Memory_Size,Memory_Types,Max_nb_of_Memory_Channels,Max_Memory_Bandwidth,ECC_Memory_Supported,Processor_Graphics_,Graphics_Base_Frequency,Graphics_Max_Dynamic_Frequency,Graphics_Video_Max_Memory,Graphics_Output,Support_4k,Max_Resolution_HDMI,Max_Resolution_DP,Max_Resolution_eDP_Integrated_Flat_Panel,DirectX_Support,OpenGL_Support,PCI_Express_Revision,PCI_Express_Configurations_,Max_nb_of_PCI_Express_Lanes,T,Intel_Hyper_Threading_Technology_,Intel_Virtualization_Technology_VTx_,Intel_64_,Instruction_Set,Instruction_Set_Extensions,Idle_States,Thermal_Monitoring_Technologies,Secure_Key,Execute_Disable_Bit,Geekbench_Single,Geekbench_Multi
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4370,End of Life,16252.0,22.0,138.0,2.0,4.0,3.8,,4 MB SmartCache,5 GT/s DMI2,54.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,900.0,1944.8
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4360T,End of Life,16252.0,22.0,138.0,2.0,4.0,3.2,,4 MB SmartCache,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,200 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,760.4,1664.2
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4360,Launched,16161.0,22.0,138.0,2.0,4.0,3.7,,4 MB SmartCache,5 GT/s DMI2,54.0,Yes,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,812.0,1711.8
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4350T,Launched,16161.0,22.0,138.0,2.0,4.0,3.1,,4 MB SmartCache,5 GT/s DMI2,35.0,Yes,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,200 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C ,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,,Yes,665.4,1355.2
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4350,End of Life,16161.0,22.0,138.0,2.0,4.0,3.6,,4 MB SmartCache,5 GT/s DMI2,54.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,,Yes,860.6,1855.8
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4340,End of Life,15887.0,22.0,149.0,2.0,4.0,3.6,,4 MB SmartCache,5 GT/s DMI2,54.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.8°C ,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,,Yes,793.2,1615.8
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4330T,End of Life,15887.0,22.0,138.0,2.0,4.0,3.0,,4 MB SmartCache,5 GT/s DMI2,35.0,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,200 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4 C,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,,Yes,728.4,1534.2
Legacy Intel® Core™ Processors,Mobile,P7350,End of Interactive Support,14061.0,45.0,,2.0,,2.0,,3 MB L2,1066 MHz FSB,25.0,No,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,64.0,,,,,Yes,264.0,454.0
Legacy Intel® Core™ Processors,Mobile,P7370,End of Interactive Support,14153.0,45.0,,2.0,,2.0,,3 MB L2,1066 MHz FSB,25.0,No,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,64.0,,,,,Yes,302.0,496.0
Legacy Intel® Core™ Processors,Mobile,P7450,End of Interactive Support,14245.0,45.0,,2.0,,2.13,,3 MB L2,1066 MHz FSB,25.0,No,,,,,,,,,,,,,,,,,,,,,90°C,No,No,Yes,64.0,,,,,Yes,299.8,523.8
Legacy Intel® Core™ Processors,Mobile,P7550,End of Interactive Support,14426.0,45.0,,2.0,,2.26,,3 MB L2,1066 MHz FSB,25.0,No,,,,,,,,,,,,,,,,,,,,, 90°C,,See Ordering Info,Yes,64.0,,,,,Yes,200.4,348.4
Legacy Intel® Core™ Processors,Mobile,P7570,End of Interactive Support,14426.0,45.0,,2.0,,2.26,,3 MB L2,1066 MHz FSB,25.0,No,,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,272.8,397.0
Legacy Intel® Core™ Processors,Mobile,P8400,End of Interactive Support,14061.0,45.0,199.0,2.0,,2.26,,3 MB L2,1066 MHz FSB,25.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,333.2,584.6
Legacy Intel® Core™ Processors,Mobile,P8600,End of Interactive Support,14061.0,45.0,211.0,2.0,,2.4,,3 MB L2,1066 MHz FSB,25.0,No,Yes,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,309.4,494.4
Legacy Intel® Core™ Processors,Mobile,P8700,End of Interactive Support,14153.0,45.0,,2.0,,2.53,,3 MB L2,1066 MHz FSB,25.0,No,Yes,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64.0,,Yes,,,Yes,285.6,467.6
Legacy Intel® Core™ Processors,Mobile,P8800,End of Interactive Support,14335.0,45.0,253.0,2.0,,2.66,,3 MB L2,1066 MHz FSB,25.0,No,Yes,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64.0,,,,,Yes,370.4,574.0
Legacy Intel® Core™ Processors,Mobile,P9500,End of Interactive Support,14061.0,45.0,364.0,2.0,,2.53,,6 MB L2,1066 MHz FSB,25.0,No,Yes,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64.0,,No,,,Yes,393.6,645.6
Legacy Intel® Core™ Processors,Mobile,P9600,End of Interactive Support,14153.0,45.0,,2.0,,2.66,,6 MB L2,1066 MHz FSB,25.0,No,,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64.0,,,,,Yes,396.2,660.0
Legacy Intel® Core™ Processors,Mobile,P9700,End of Interactive Support,14335.0,45.0,,2.0,,2.8,,6 MB L2,1066 MHz FSB,28.0,No,,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64.0,,,,,Yes,386.4,635.8
Legacy Intel® Core™ Processors,Mobile,L7300,End of Interactive Support,13604.0,65.0,,2.0,,1.4,,4 MB L2,800 MHz FSB,17.0,No,,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64.0,,Yes,,,Yes,230.0,389.0
Legacy Intel® Core™ Processors,Mobile,L7500,End of Interactive Support,13330.0,65.0,,2.0,,1.6,,4 MB L2,800 MHz FSB,17.0,Yes,,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64.0,,Yes,,,Yes,259.8,445.2
Legacy Intel® Core™ Processors,Desktop,E4300,End of Interactive Support,13330.0,65.0,,2.0,,1.8,,2 MB L2,800 MHz FSB,65.0,Yes,,,,,,,,,,,,,,,,,,,,,61.4°C,No,No,Yes,64.0,,Yes,Yes,,Yes,255.8,483.2
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4330,Launched,15887.0,22.0,138.0,2.0,4.0,3.5,,4 MB SmartCache,5 GT/s DMI2,54.0,Yes,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.8°C ,Yes,Yes,Yes,64.0,"SSE4.1/4.2, AVX 2.0",Yes,Yes,,Yes,732.4,1554.6
Legacy Intel® Core™ Processors,Desktop,E4400,End of Interactive Support,13604.0,65.0,,2.0,,2.0,,2 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,"L2=61.4°C, M0=73.3°C ",No,No,Yes,64.0,,Yes,Yes,,Yes,251.8,440.8
Legacy Intel® Core™ Processors,Desktop,E4500,End of Interactive Support,13695.0,65.0,,2.0,,2.2,,2 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64.0,,Yes,Yes,,Yes,291.4,573.6
Legacy Intel® Core™ Processors,Desktop,E4600,End of Interactive Support,13787.0,65.0,,2.0,,2.4,,2 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64.0,,Yes,Yes,,Yes,336.8,613.4
Legacy Intel® Core™ Processors,Desktop,E4700,End of Interactive Support,13879.0,65.0,,2.0,,2.6,,2 MB L2,800 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64.0,,Yes,Yes,,Yes,293.0,444.4
Legacy Intel® Core™ Processors,Desktop,E6300,End of Interactive Support,13330.0,65.0,,2.0,,1.86,,2 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,61.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,306.8,511.6
Legacy Intel® Core™ Processors,Desktop,E6400,End of Interactive Support,13330.0,65.0,,2.0,,2.13,,2 MB L2,1066 MHz FSB,65.0,Yes,,,,,,,,,,,,,,,,,,,,,61.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,393.6,653.0
Legacy Intel® Core™ Processors,Desktop,E6320,End of Interactive Support,13604.0,65.0,,2.0,,1.86,,4 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,60.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,498.2,1120.8
Legacy Intel® Core™ Processors,Desktop,E6420,End of Interactive Support,13604.0,65.0,,2.0,,2.13,,4 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,60.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,403.6,956.6
Legacy Intel® Core™ Processors,Desktop,E6540,End of Interactive Support,13695.0,65.0,,2.0,,2.33,,4 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,871.4,2956.2
Legacy Intel® Core™ Processors,Desktop,E6550,End of Interactive Support,13695.0,65.0,,2.0,,2.33,,4 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,309.8,535.2
Legacy Intel® Core™ Processors,Desktop,E6600,End of Interactive Support,13330.0,65.0,,2.0,,2.4,,4 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,60.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,376.2,660.2
Legacy Intel® Core™ Processors,Desktop,E6700,End of Interactive Support,13330.0,65.0,,2.0,,2.66,,4 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,60.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,374.4,644.2
Legacy Intel® Core™ Processors,Desktop,E6750,End of Interactive Support,13695.0,65.0,,2.0,,2.66,,4 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,360.4,635.0
Legacy Intel® Core™ Processors,Desktop,E6850,End of Interactive Support,13695.0,65.0,,2.0,,3.0,,4 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,411.4,741.8
Legacy Intel® Core™ Processors,Desktop,E7200,End of Interactive Support,13970.0,45.0,,2.0,,2.53,,3 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,No,Yes,64.0,,Yes,Yes,,Yes,382.0,685.4
Legacy Intel® Core™ Processors,Desktop,E7300,End of Interactive Support,14061.0,45.0,117.0,2.0,,2.66,,3 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,No,Yes,64.0,,Yes,Yes,,Yes,360.2,630.0
Legacy Intel® Core™ Processors,Desktop,E7400,End of Interactive Support,13879.0,45.0,110.0,2.0,,2.8,,3 MB L2,1066 MHz FSB,65.0,Yes,,,,,,,,,,,,,,,,,,,,,74.1°C,No,See Ordering Info,Yes,64.0,,Yes,Yes,,Yes,228.2,336.6
Legacy Intel® Core™ Processors,Desktop,E7500,End of Interactive Support,14245.0,45.0,125.0,2.0,,2.93,,3 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,See Ordering Info,Yes,64.0,,Yes,Yes,,Yes,422.4,723.2
Legacy Intel® Core™ Processors,Desktop,E7600,End of Interactive Support,14335.0,45.0,147.0,2.0,,3.06,,3 MB L2,1066 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,358.4,622.2
Legacy Intel® Core™ Processors,Desktop,E8190,End of Interactive Support,13879.0,45.0,,2.0,,2.66,,6 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72.4°C,No,No,Yes,64.0,,Yes,Yes,,Yes,351.0,717.0
Legacy Intel® Core™ Processors,Desktop,E8200,End of Interactive Support,13879.0,45.0,,2.0,,2.66,,6 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,377.2,720.4
Legacy Intel® Core™ Processors,Desktop,E8300,End of Interactive Support,13970.0,45.0,,2.0,,2.83,,6 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,395.6,675.4
Legacy Intel® Core™ Processors,Desktop,E8400,End of Interactive Support,13879.0,45.0,149.0,2.0,,3.0,,6 MB L2,1333 MHz FSB,65.0,Yes,,,,,,,,,,,,,,,,,,,,,72.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,439.0,745.8
Legacy Intel® Core™ Processors,Desktop,E8500,End of Interactive Support,13879.0,45.0,200.0,2.0,,3.16,,6 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,477.4,841.8
Legacy Intel® Core™ Processors,Desktop,E8600,End of Interactive Support,14061.0,45.0,285.0,2.0,,3.33,,6 MB L2,1333 MHz FSB,65.0,No,,,,,,,,,,,,,,,,,,,,,72.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,475.8,846.0
Legacy Intel® Core™ Processors,Desktop,Q6600,End of Interactive Support,13514.0,65.0,,4.0,,2.4,,8 MB L2,1066 MHz FSB,105.0,No,,,,,,,,,,,,,,,,,,,,,B3=62.2°C; G0=71°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,324.0,1072.4
Legacy Intel® Core™ Processors,Desktop,Q6700,End of Interactive Support,13695.0,65.0,,4.0,,2.66,,8 MB L2,1066 MHz FSB,105.0,No,,,,,,,,,,,,,,,,,,,,,62.2°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,352.2,1075.8
Legacy Intel® Core™ Processors,Desktop,Q8200,End of Interactive Support,14061.0,45.0,179.0,4.0,,2.33,,4 MB L2,1333 MHz FSB,95.0,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,No,Yes,64.0,,Yes,Yes,,Yes,321.2,990.2
Legacy Intel® Core™ Processors,Desktop,Q8300,End of Interactive Support,14153.0,45.0,179.0,4.0,,2.5,,4 MB L2,1333 MHz FSB,95.0,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,See Ordering Info,Yes,64.0,,Yes,Yes,,Yes,356.0,1130.2
Legacy Intel® Core™ Processors,Desktop,Q8400,End of Interactive Support,14335.0,45.0,179.0,4.0,,2.66,,4 MB L2,1333 MHz FSB,95.0,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,366.8,1060.0
Legacy Intel® Core™ Processors,Mobile,Q9000,End of Interactive Support,14245.0,45.0,364.0,4.0,,2.0,,6 MB L2,1066 MHz FSB,45.0,No,Yes,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64.0,,,,,Yes,321.8,911.8
Legacy Intel® Core™ Processors,Mobile,Q9100,End of Interactive Support,14061.0,45.0,,4.0,,2.26,,12 MB L2,1066 MHz FSB,45.0,No,,,,,,,,,,,,,,,,,,,,,100°C ,No,Yes,Yes,64.0,,,,,Yes,324.8,851.6
Legacy Intel® Core™ Processors,Desktop,Q9300,End of Interactive Support,13879.0,45.0,200.0,4.0,,2.5,,6 MB L2,1333 MHz FSB,95.0,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,365.6,1107.0
Legacy Intel® Core™ Processors,Desktop,Q9400,End of Interactive Support,14061.0,45.0,180.0,4.0,,2.66,,6 MB L2,1333 MHz FSB,95.0,Yes,Yes,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,395.2,1259.2
Legacy Intel® Core™ Processors,Desktop,Q9450,End of Interactive Support,13879.0,45.0,,4.0,,2.66,,12 MB L2,1333 MHz FSB,95.0,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,447.4,1457.0
Legacy Intel® Core™ Processors,Desktop,Q9505,End of Interactive Support,14426.0,45.0,234.0,4.0,,2.83,,6 MB L2,1333 MHz FSB,95.0,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,406.2,1253.6
Legacy Intel® Core™ Processors,Desktop,Q9550,End of Interactive Support,13879.0,45.0,287.0,4.0,,2.83,,12 MB L2,1333 MHz FSB,95.0,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,451.8,1468.8
Legacy Intel® Core™ Processors,Desktop,Q9650,End of Interactive Support,14061.0,45.0,339.0,4.0,,3.0,,12 MB L2,1333 MHz FSB,95.0,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64.0,,Yes,Yes,,Yes,449.6,1450.0
Legacy Intel® Core™ Processors,Mobile,i3-330M,End of Interactive Support,14610.0,32.0,177.0,2.0,4.0,2.13,,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,16,"90°C for rPGA, 105°C for BGA",Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,335.8,750.4
Legacy Intel® Core™ Processors,Mobile,i3-330UM,End of Interactive Support,14700.0,32.0,,2.0,4.0,1.2,,3 MB SmartCache,2.5 GT/s DMI,18.0,No,,8 GB,DDR3 800,2,12.8 GB/s,No,,166 MHz,500 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,192.2,462.4
Legacy Intel® Core™ Processors,Mobile,i3-350M,End of Interactive Support,14610.0,32.0,,2.0,4.0,2.26,,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,16,"90°C for rPGA, 105°C for BGA",Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,347.6,800.0
Legacy Intel® Core™ Processors,Mobile,i3-370M,End of Interactive Support,14791.0,32.0,,2.0,4.0,2.4,,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,16,"90°C for rPGA, 105°C for BGA",Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,371.4,765.4
Legacy Intel® Core™ Processors,Mobile,i3-380M,End of Interactive Support,14791.0,32.0,,2.0,4.0,2.53,,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,16,"90°C for rPGA, 105°C for BGA",Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,302.8,475.4
Legacy Intel® Core™ Processors,Mobile,i3-380UM,End of Interactive Support,14883.0,32.0,,2.0,4.0,1.33,,3 MB SmartCache,2.5 GT/s DMI,18.0,No,,8 GB,DDR3 800,2,12.8 GB/s,No,,166 MHz,500 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,197.4,422.6
Legacy Intel® Core™ Processors,Desktop,i3-530,End of Interactive Support,14610.0,32.0,117.0,2.0,4.0,2.93,,4 MB SmartCache,2.5 GT/s DMI,73.0,No,,16.38 GB,DDR3 1066/1333,2,21 GB/s,,,733 MHz,,,,,,,,,,2,"1x16, 2x8",16,72.6°C,Yes,Yes,Yes,64.0,SSE4.2,Yes,No,,Yes,453.0,1102.4
Legacy Intel® Core™ Processors,Desktop,i3-540,End of Interactive Support,14610.0,32.0,109.0,2.0,4.0,3.06,,4 MB SmartCache,2.5 GT/s DMI,73.0,Yes,Yes,16.38 GB,DDR3 1066/1333,2,21 GB/s,,,733 MHz,,,,,,,,,,2,"1x16, 2x8",16,72.6°C,Yes,Yes,Yes,64.0,SSE4.2,Yes,No,,Yes,488.0,1079.2
Legacy Intel® Core™ Processors,Desktop,i3-550,End of Interactive Support,14700.0,32.0,117.0,2.0,4.0,3.2,,4 MB SmartCache,2.5 GT/s DMI,73.0,No,,16.38 GB,DDR3 1066/1333,2,21 GB/s,,,733 MHz,,,,,,,,,,2,"1x16, 2x8",16,72.6°C,Yes,Yes,Yes,64.0,SSE4.2,Yes,No,,Yes,471.4,980.2
Legacy Intel® Core™ Processors,Mobile,i5-430M,End of Interactive Support,14610.0,32.0,,2.0,4.0,2.26,2.53,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,766 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,283.2,475.2
Legacy Intel® Core™ Processors,Mobile,i5-430UM,End of Interactive Support,14700.0,32.0,,2.0,4.0,1.2,1.73,3 MB SmartCache,2.5 GT/s DMI,18.0,No,,8 GB,DDR3 800,2,12.8 GB/s,No,,166 MHz,500 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,238.8,480.8
Legacy Intel® Core™ Processors,Mobile,i5-450M,End of Interactive Support,14700.0,32.0,,2.0,4.0,2.4,2.66,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,766 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,402.2,879.2
Legacy Intel® Core™ Processors,Mobile,i5-460M,End of Interactive Support,14791.0,32.0,,2.0,4.0,2.53,2.8,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,766 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,382.2,791.6
Legacy Intel® Core™ Processors,Mobile,i5-470UM,End of Interactive Support,14883.0,32.0,,2.0,4.0,1.33,1.86,3 MB SmartCache,2.5 GT/s DMI,18.0,No,,8 GB,DDR3 800,2,12.8 GB/s,No,,166 MHz,500 MHz,,,,,,,,,2,1x16,16,105°C ,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,155.0,349.0
Legacy Intel® Core™ Processors,Mobile,i5-520M,End of Interactive Support,14610.0,32.0,210.0,2.0,4.0,2.4,2.93,3 MB SmartCache,2.5 GT/s DMI,35.0,Yes,,8.3 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,766 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,489.4,1005.8
Legacy Intel® Core™ Processors,Mobile,i5-520UM,End of Interactive Support,14610.0,32.0,,2.0,4.0,1.07,1.87,3 MB SmartCache,2.5 GT/s DMI,18.0,No,,8 GB,DDR3 800,2,12.8 GB/s,No,,166 MHz,500 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,330.0,580.2
Legacy Intel® Core™ Processors,Mobile,i5-540M,End of Interactive Support,14610.0,32.0,269.0,2.0,4.0,2.53,3.07,3 MB SmartCache,2.5 GT/s DMI,35.0,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,766 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64.0,SSE4.1/4.2,Yes,Yes,,Yes,244.4,362.8
